scrape_time,date,site_id,venue_name,time_range,booked,total,status,remark
2026-05-06 23:39:20,2026-05-06,5,健身中心,07:00-08:30,53,110,不开放/已过期,
2026-05-06 23:52:06,2026-05-06,5,健身中心,07:00-08:30,53,110,不开放/已过期,
2026-05-06 23:54:16,2026-05-06,5,健身中心,07:00-08:30,53,110,不开放/已过期,
2026-05-06 23:39:20,2026-05-06,5,健身中心,08:30-10:00,93,110,不开放/已过期,
2026-05-06 23:52:06,2026-05-06,5,健身中心,08:30-10:00,93,110,不开放/已过期,
2026-05-06 23:54:16,2026-05-06,5,健身中心,08:30-10:00,93,110,不开放/已过期,
2026-05-06 23:39:20,2026-05-06,5,健身中心,10:00-11:30,99,110,不开放/已过期,
2026-05-06 23:52:06,2026-05-06,5,健身中心,10:00-11:30,99,110,不开放/已过期,
2026-05-06 23:54:16,2026-05-06,5,健身中心,10:00-11:30,99,110,不开放/已过期,
2026-05-06 23:39:20,2026-05-06,5,健身中心,12:00-13:30,110,110,已售/已满,
2026-05-06 23:52:06,2026-05-06,5,健身中心,12:00-13:30,110,110,已售/已满,
2026-05-06 23:54:16,2026-05-06,5,健身中心,12:00-13:30,110,110,已售/已满,
2026-05-06 23:39:20,2026-05-06,5,健身中心,14:00-15:30,105,110,不开放/已过期,
2026-05-06 23:52:06,2026-05-06,5,健身中心,14:00-15:30,105,110,不开放/已过期,
2026-05-06 23:54:16,2026-05-06,5,健身中心,14:00-15:30,105,110,不开放/已过期,
2026-05-06 23:39:20,2026-05-06,5,健身中心,16:00-17:30,87,110,不开放/已过期,
2026-05-06 23:52:06,2026-05-06,5,健身中心,16:00-17:30,87,110,不开放/已过期,
2026-05-06 23:54:16,2026-05-06,5,健身中心,16:00-17:30,87,110,不开放/已过期,
2026-05-06 23:39:20,2026-05-06,5,健身中心,18:00-19:30,99,110,不开放/已过期,
2026-05-06 23:52:06,2026-05-06,5,健身中心,18:00-19:30,99,110,不开放/已过期,
2026-05-06 23:54:16,2026-05-06,5,健身中心,18:00-19:30,99,110,不开放/已过期,
2026-05-06 23:39:20,2026-05-06,5,健身中心,20:00-21:30,56,110,不开放/已过期,
2026-05-06 23:52:06,2026-05-06,5,健身中心,20:00-21:30,56,110,不开放/已过期,
2026-05-06 23:54:16,2026-05-06,5,健身中心,20:00-21:30,56,110,不开放/已过期,
2026-05-06 23:39:20,2026-05-07,5,健身中心,07:00-08:30,63,110,可预约,
2026-05-06 23:52:06,2026-05-07,5,健身中心,07:00-08:30,63,110,可预约,
2026-05-06 23:54:16,2026-05-07,5,健身中心,07:00-08:30,64,110,可预约,
2026-05-07 00:17:25,2026-05-07,5,健身中心,07:00-08:30,63,110,可预约,
2026-05-07 00:31:03,2026-05-07,5,健身中心,07:00-08:30,62,110,可预约,
2026-05-07 01:57:20,2026-05-07,5,健身中心,07:00-08:30,60,110,可预约,
2026-05-07 03:29:30,2026-05-07,5,健身中心,07:00-08:30,60,110,可预约,
2026-05-07 04:53:05,2026-05-07,5,健身中心,07:00-08:30,60,110,可预约,
2026-05-07 05:51:26,2026-05-07,5,健身中心,07:00-08:30,60,110,可预约,
2026-05-07 06:39:15,2026-05-07,5,健身中心,07:00-08:30,61,110,可预约,
2026-05-07 07:40:03,2026-05-07,5,健身中心,07:00-08:30,68,110,可预约,
2026-05-07 09:52:44,2026-05-07,5,健身中心,07:00-08:30,74,110,不开放/已过期,
2026-05-07 12:24:41,2026-05-07,5,健身中心,07:00-08:30,74,110,不开放/已过期,
2026-05-06 23:39:20,2026-05-07,5,健身中心,08:30-10:00,110,110,已售/已满,
2026-05-06 23:52:06,2026-05-07,5,健身中心,08:30-10:00,110,110,已售/已满,
2026-05-06 23:54:16,2026-05-07,5,健身中心,08:30-10:00,109,110,可预约,
2026-05-07 00:17:25,2026-05-07,5,健身中心,08:30-10:00,109,110,可预约,
2026-05-07 00:31:03,2026-05-07,5,健身中心,08:30-10:00,109,110,可预约,
2026-05-07 01:57:20,2026-05-07,5,健身中心,08:30-10:00,108,110,可预约,
2026-05-07 03:29:30,2026-05-07,5,健身中心,08:30-10:00,106,110,可预约,
2026-05-07 04:53:05,2026-05-07,5,健身中心,08:30-10:00,106,110,可预约,
2026-05-07 05:51:26,2026-05-07,5,健身中心,08:30-10:00,107,110,可预约,
2026-05-07 06:39:15,2026-05-07,5,健身中心,08:30-10:00,106,110,可预约,
2026-05-07 07:40:03,2026-05-07,5,健身中心,08:30-10:00,106,110,可预约,
2026-05-07 09:52:44,2026-05-07,5,健身中心,08:30-10:00,110,110,已售/已满,
2026-05-07 12:24:41,2026-05-07,5,健身中心,08:30-10:00,110,110,已售/已满,
2026-05-06 23:39:20,2026-05-07,5,健身中心,10:00-11:30,10,110,可预约,
2026-05-06 23:52:06,2026-05-07,5,健身中心,10:00-11:30,10,110,可预约,
2026-05-06 23:54:16,2026-05-07,5,健身中心,10:00-11:30,10,110,可预约,
2026-05-07 00:17:25,2026-05-07,5,健身中心,10:00-11:30,11,110,可预约,
2026-05-07 00:31:03,2026-05-07,5,健身中心,10:00-11:30,11,110,可预约,
2026-05-07 01:57:20,2026-05-07,5,健身中心,10:00-11:30,11,110,可预约,
2026-05-07 03:29:30,2026-05-07,5,健身中心,10:00-11:30,11,110,可预约,
2026-05-07 04:53:05,2026-05-07,5,健身中心,10:00-11:30,11,110,可预约,
2026-05-07 05:51:26,2026-05-07,5,健身中心,10:00-11:30,11,110,可预约,
2026-05-07 06:39:15,2026-05-07,5,健身中心,10:00-11:30,11,110,可预约,
2026-05-07 07:40:03,2026-05-07,5,健身中心,10:00-11:30,11,110,可预约,
2026-05-07 09:52:44,2026-05-07,5,健身中心,10:00-11:30,23,110,可预约,
2026-05-07 12:24:41,2026-05-07,5,健身中心,10:00-11:30,37,110,不开放/已过期,
2026-05-06 23:39:20,2026-05-07,5,健身中心,12:00-13:30,105,110,可预约,
2026-05-06 23:52:06,2026-05-07,5,健身中心,12:00-13:30,106,110,可预约,
2026-05-06 23:54:16,2026-05-07,5,健身中心,12:00-13:30,106,110,可预约,
2026-05-07 00:17:25,2026-05-07,5,健身中心,12:00-13:30,108,110,可预约,
2026-05-07 00:31:03,2026-05-07,5,健身中心,12:00-13:30,108,110,可预约,
2026-05-07 01:57:20,2026-05-07,5,健身中心,12:00-13:30,110,110,已售/已满,
2026-05-07 03:29:30,2026-05-07,5,健身中心,12:00-13:30,110,110,已售/已满,
2026-05-07 04:53:05,2026-05-07,5,健身中心,12:00-13:30,110,110,已售/已满,
2026-05-07 05:51:26,2026-05-07,5,健身中心,12:00-13:30,110,110,已售/已满,
2026-05-07 06:39:15,2026-05-07,5,健身中心,12:00-13:30,110,110,已售/已满,
2026-05-07 07:40:03,2026-05-07,5,健身中心,12:00-13:30,110,110,已售/已满,
2026-05-07 09:52:44,2026-05-07,5,健身中心,12:00-13:30,110,110,已售/已满,
2026-05-07 12:24:41,2026-05-07,5,健身中心,12:00-13:30,110,110,已售/已满,
2026-05-06 23:39:20,2026-05-07,5,健身中心,14:00-15:30,9,110,可预约,
2026-05-06 23:52:06,2026-05-07,5,健身中心,14:00-15:30,9,110,可预约,
2026-05-06 23:54:16,2026-05-07,5,健身中心,14:00-15:30,9,110,可预约,
2026-05-07 00:17:25,2026-05-07,5,健身中心,14:00-15:30,9,110,可预约,
2026-05-07 00:31:03,2026-05-07,5,健身中心,14:00-15:30,9,110,可预约,
2026-05-07 01:57:20,2026-05-07,5,健身中心,14:00-15:30,9,110,可预约,
2026-05-07 03:29:30,2026-05-07,5,健身中心,14:00-15:30,9,110,可预约,
2026-05-07 04:53:05,2026-05-07,5,健身中心,14:00-15:30,9,110,可预约,
2026-05-07 05:51:26,2026-05-07,5,健身中心,14:00-15:30,9,110,可预约,
2026-05-07 06:39:15,2026-05-07,5,健身中心,14:00-15:30,9,110,可预约,
